2025-04-20	12:12	Water the plants.	2025-04-15T17:55:40.090993+00:00
2025-05-03	10:34	Take out the trash.	2025-04-15T19:02:39.469962+00:00
2025-04-22	01:45	Write Eventz apps!!	2025-04-16T04:16:22.185806-04:00
2025-04-22	12:11	Debug programs	2025-04-16T04:19:27.021006-04:00
2025-04-23	12:11	Debug programs (rescheduled)	2025-04-17T04:50:29.387059-04:00
2025-05-02	10:34	Take out the trash. (rescheduled)	2025-04-17T04:50:41.331314-04:00
2025-04-08	12:12	Water the plants. (rescheduled)	2025-04-17T04:51:00.492659-04:00
2025-04-17	14:00	Watch IEEE video	2025-04-17T04:52:07.516325-04:00
2025-04-21	12:11	Debug programs (rescheduled)	2025-04-18T22:36:12.591659-04:00
2025-04-27	12:12	Water the plants. (rescheduled)	2025-04-18T22:36:51.947328-04:00
2025-04-28	12:12	Water the plants. (rescheduled) (rescheduled)	2025-04-18T22:44:52.753488-04:00
2025-04-29	12:12	Water the plants. (rescheduled) (rescheduled) (rescheduled)	2025-04-18T22:45:16.498953-04:00
2025-04-16	14:00	Watch IEEE video	2025-04-18T22:51:34.538738-04:00
2025-04-15	14:00	Watch IEEE video	2025-04-18T22:51:42.267594-04:00
2025-04-18	14:00	Watch IEEE video	2025-04-18T22:51:49.701142-04:00
2025-04-23	12:11	Debug programs (rescheduled)	2025-04-18T22:52:24.308809-04:00
2025-04-21	11:13	Watch TV	2025-04-18T22:53:16.004318-04:00
2025-04-22	11:13	Watch TV	2025-04-18T22:53:28.712416-04:00
2025-04-30	11:13	Watch TV	2025-04-18T22:53:58.965853-04:00
2025-04-24	11:13	Watch TV	2025-04-18T23:06:54.982723-04:00
2025-03-11	22:12	Make a change.	2025-04-18T23:09:36.035542-04:00
2025-03-05	22:12	Make a change.	2025-04-18T23:09:55.270172-04:00
2025-04-19	14:00	Watch IEEE video	2025-04-20T04:08:59.732158-04:00
